"code"	"word"	"psychometric"
10001	"If"	369.011904761905
10002	"you"	368.183908045977
10003	"were"	344.318181818182
10004	"to"	354.639534883721
10005	"journey"	349.674157303371
10006	"to"	376.370786516854
10007	"the"	327.310344827586
10008	"North"	365.494382022472
10009	"of"	344.931034482759
10010	"England,"	400.269662921348
10011	"you"	372.590909090909
10012	"would"	350.379310344828
10013	"come"	319.080459770115
10014	"to"	355.931034482759
10015	"a"	343.858823529412
10016	"valley"	330.732558139535
10017	"that"	346.779069767442
10018	"is"	360.287356321839
10019	"surrounded"	337.046511627907
10020	"by"	359.364705882353
10021	"moors"	395.43023255814
10022	"as"	414.597701149425
10023	"high"	390.953488372093
10024	"as"	434.036144578313
10025	"mountains."	457.345238095238
10026	"It"	399.928571428571
10027	"is"	325.247058823529
10028	"in"	318.267441860465
10029	"this"	341.223529411765
10030	"valley"	375.8
10031	"where"	363.129411764706
10032	"you"	365.436781609195
10033	"would"	323.558139534884
10034	"find"	305.329411764706
10035	"the"	355.857142857143
10036	"city"	320.298850574713
10037	"of"	418.436781609195
10038	"Bradford,"	440.576470588235
10039	"where"	377.309523809524
10040	"once"	353.954022988506
10041	"a"	397.413793103448
10042	"thousand"	455.139534883721
10043	"spinning"	459.02380952381
10044	"jennies"	539.317647058824
10045	"that"	538.53488372093
10046	"hummed"	432.313953488372
10047	"and"	407.406976744186
10048	"clattered"	414.811764705882
10049	"spun"	453.964705882353
10050	"wool"	426.872093023256
10051	"into"	392.559523809524
10052	"money"	384.206896551724
10053	"for"	385.471264367816
10054	"the"	462.647058823529
10055	"long-bearded"	441.197674418605
10056	"mill"	476.869047619048
10057	"owners."	480.586206896552
10058	"That"	415.689655172414
10059	"all"	439.011494252874
10060	"mill"	429.528735632184
10061	"owners"	381.528735632184
10062	"were"	387.197674418605
10063	"generally"	378.540229885057
10064	"busy"	369.511904761905
10065	"as"	388.720930232558
10066	"beavers"	359.790697674419
10067	"and"	362.505747126437
10068	"quite"	385.735632183908
10069	"pleased"	343.93023255814
10070	"with"	370.379310344828
10071	"themselves"	371.470588235294
10072	"for"	349.058139534884
10073	"being"	339.46511627907
10074	"so"	345.964705882353
10075	"successful"	380.476744186047
10076	"and"	362.952941176471
10077	"well"	361.27380952381
10078	"off"	357.091954022988
10079	"was"	353.413793103448
10080	"known"	357.023255813953
10081	"to"	344.453488372093
10082	"the"	381.802325581395
10083	"residents"	365.5
10084	"of"	388.96511627907
10085	"Bradford,"	399.611764705882
10086	"and"	367.630952380952
10087	"if"	328.686046511628
10088	"you"	329.862068965517
10089	"were"	331.604651162791
10090	"to"	315.418604651163
10091	"go"	344.793103448276
10092	"into"	332.282352941176
10093	"the"	326.129411764706
10094	"city"	319.583333333333
10095	"to"	319.081395348837
10096	"visit"	330.918604651163
10097	"the"	370.732558139535
10098	"stately"	393.697674418605
10099	"City"	385.627906976744
10100	"Hall,"	395.390804597701
10101	"you"	334.367816091954
10102	"would"	327.793103448276
10103	"see"	333.441860465116
10104	"there"	341.116279069767
10105	"the"	391.229885057471
10106	"Crest"	381.244186046512
10107	"of"	333.638554216867
10108	"the"	341.714285714286
10109	"City"	353.953488372093
10110	"of"	357.917647058824
10111	"Bradford,"	387.588235294118
10112	"which"	374.152941176471
